id,tier,original_option,new_option
r20_ims_los_e_q8,B,"does investment team have sufficient expertise and experience to effectively execute investment process (especially instructive to see how manager responded to stressed markets and poor performance)?; does team have sufficient depth?; what is level of key person risk (overreliance on individual whose departure would negatively affect strategy's performance)?; what agreements (non-compete) and incentives (ownership, bonus, pay) exist to retain and attract key employees?; what has been turnover of firm personnel (high turnover risks loss of institutional knowledge)?",does investment team have sufficient expertise and experience to effectively execute investment process (especially instructive to see how manager responded to stressed markets and poor performance)?.
r20_ims_los_f_q1,B,"in 2021 team-managed mutual funds accounted for 64% of all US active mutual funds (Karagiannidis and Booth 2022); primary motivation is idea that 'two heads are better than one' — application of number of individuals each with different skills and experiences can provide for more effective decision making; secondary motivation is to mitigate key person risk; research is mixed on whether team-managed outperform individual-managed funds — several studies find underperformance, several find opposite, some find no difference; there is nothing magical about a team, so managers should focus on creating effective structure and culture.",in 2021 team-managed mutual funds accounted for 64% of all US active mutual funds (Karagiannidis and Booth 2022).
r20_ims_los_f_q3,B,"occurs when a team minimizes conflict and dissent in reaching and maintaining a consensus; pursuit of harmony overrides individual expression and may encourage individuals to withhold information and perspectives from the team; common symptoms are closed-mindedness and confirmation bias, where fresh sources of information, different interpretations, and dissent are ignored or minimized; example: portfolio management team may become convinced recession is imminent based on inverted yield curve and falling commodity prices and seek to position defensively — team must remain open to possibility it isn't correct.",occurs when a team minimizes conflict and dissent in reaching and maintaining a consensus.
r20_ims_los_f_q4,B,"involves groups deferring to a group member that is a subject matter expert or in a position of authority (e.g., the senior-most group member); example: research analyst recommends semiconductor equipment stock to team of three portfolio managers, one of whom is former technology research analyst and votes not to buy — the other two vote the same way, deferring to subject matter expertise of the other manager; while this may be right call, it undermines reason for team in the first place: synthesis of diverse perspectives and skills.","involves groups deferring to a group member that is a subject matter expert or in a position of authority (e.g., the senior-most group member)."
r20_ims_los_f_q5,B,"well-known phenomenon in which disproportionate attention is given to trivial issues at expense of important but harder-to-grasp or contested topics; also known as Parkinson's law of triviality or colloquially 'bike-shedding' — named after C. Northcote Parkinson's 1957 story of hypothetical committee organized to approve plans for nuclear power plant that spent more time discussing design of bicycle storage shed outside plant than design of nuclear reactor; survey of 120+ investment committees revealed committees spent great deal of time on issues they rated as unimportant at expense of important issues (asset allocation, capital market expectations, manager selection).",well-known phenomenon in which disproportionate attention is given to trivial issues at expense of important but harder-to-grasp or contested topics.
r20_ims_los_f_q6,B,team size between three and five is optimal (larger teams introduce coordination issues and increase odds of groupthink per Patel and Sarkissian 2017); using secret ballot may be preferable to open deliberation because reduces groupthink and authority bias; meeting agendas should be agreed on in advance with most important topics covered first and allotted longest time for discussion (to avoid complexity aversion and availability bias); diverse investment teams (in terms of social and cognitive categories) reduce groupthink and errors — CFA Institute long advocated for DEI in investment industry.,team size between three and five is optimal (larger teams introduce coordination issues and increase odds of groupthink per Patel and Sarkissian 2017).
r20_ims_los_f_q7,B,research suggests team diversity — in terms of social and cognitive categories — can reduce groupthink and errors analogous to how combinations of uncorrelated assets reduce portfolio volatility; members of diverse teams may devote more effort to tasks because less concerned with socially 'fitting in' and conflict avoidance which is common in homogeneous groups.,research suggests team diversity — in terms of social and cognitive categories — can reduce groupthink and errors analogous to how combinations of uncorrelated assets reduce portfolio volatility.
r20_ims_los_f_q8,B,"survey of more than 120 investment committees asked committee members to rank tasks from most to least important and then to keep track of how they actually allocated their time; survey revealed committees spent great deal of time on issues they rated as unimportant at expense of important and more difficult issues such as asset allocation, capital market expectations, and manager selection (Payne and Wood 2002).",survey of more than 120 investment committees asked committee members to rank tasks from most to least important and then to keep track of how they actually allocated their time.
r20_ims_los_g_q1,B,"individual separate accounts and pooled (or commingled) vehicles; separate accounts offer additional control, customization, tax efficiency, reporting, and transparency advantages but these come at higher cost; in a pooled or commingled vehicle, money from multiple investors is held as a single portfolio and managed without potential customization for any investor — includes open-end funds, closed-end funds, exchange-traded funds, exchange-traded notes, and hedge funds.",individual separate accounts and pooled (or commingled) vehicles.
r20_ims_los_g_q2,B,"ownership (investor owns individual securities directly, additional safety in liquidity event, decisions not influenced by redemption demand of other investors, clear legal ownership for recovery in bankruptcy); customization (allows investor to potentially express individual constraints or preferences within portfolio); tax efficiency (potentially improved tax efficiency — in US investors pay taxes only on realized capital gains); transparency (real-time position-level detail to investor providing complete transparency and accurate attribution).","ownership (investor owns individual securities directly, additional safety in liquidity event, decisions not influenced by redemption demand of other investors, clear legal ownership for recovery in bankruptcy)."
r20_ims_los_g_q3,B,"cost (SMAs represent additional operational burden on manager translating into higher costs; SMAs do not scale as easily as pooled vehicles — with SMA new account must be established for each investor; likely to face higher transaction costs to degree trades cannot be aggregated); tracking risk (customization creates tracking risk relative to benchmark which can confuse attribution); investor behavior (transparency combined with control and customization allows for potential micromanagement by investor including performance chasing, familiarity bias, loss aversion).",cost (SMAs represent additional operational burden on manager translating into higher costs.
r20_ims_los_g_q4,B,"is vehicle structure consistent with investment process?; does manager have operational infrastructure necessary to manage SMA?; is there benefit to holding securities in separate account (if so, are benefits sufficient to compensate for additional costs)?; is tax efficiency important objective of IPS?; are there concerns that available transparency and ability to customize will result in decisions by investor that do not add value?",is vehicle structure consistent with investment process?.
r20_ims_los_g_q5,B,most liquid vehicles are closed-end funds and ETFs — as listed securities can be bought and sold intra-day and price received depends on trading volume and depth of fund; obvious advantage is ease of trading although can be some price uncertainty for less liquid funds particularly when trying to buy or sell large number of shares; open-end funds are slightly less liquid providing daily liquidity but also price certainty (shares bought and sold at end-of-day NAV).,most liquid vehicles are closed-end funds and ETFs — as listed securities can be bought and sold intra-day and price received depends on trading volume and depth of fund.
r20_ims_los_g_q6,B,"four basic features: (1) redemption frequency (how often investor can withdraw capital from fund); (2) notification period (how far in advance of redemption investors must tell fund of intention to redeem); (3) lockup (initial period after making investment during which investors cannot redeem holding — hard lock allows no redemptions, soft lock charges fee paid into fund for redemptions; mutual fund redemption fee is equivalent to hedge fund soft lock); (4) gates (limit amount of fund assets or investor assets that can be redeemed at one redemption date).",four basic features: (1) redemption frequency (how often investor can withdraw capital from fund).
r20_ims_los_g_q7,B,"PE and VC funds provide least liquidity; investors are contractually obligated to contribute specific amounts (capital calls) during investment phase and then receive distributions and capital as investments are harvested during remaining term of fund; typical investment phase is 5 years; typical life of a fund is 10 years with option to extend term for two 1-year periods; disadvantage of partnership liquidity is reduced flexibility to adjust allocations; advantage is such terms lock up capital for longer horizons, allowing funds to take long-term views and hold less liquid securities (start-ups, buyouts, turnarounds, real estate, natural resources) with reduced risk of having to sell portfolio holdings at inopportune times.",PE and VC funds provide least liquidity.
r20_ims_los_g_q8,B,"because SMA assets are held in investor's name, securities in portfolio can be sold at any time; as a result SMA's liquidity will depend on liquidity of securities held; SMA holding listed large-cap stocks will likely be highly liquid, whereas investor in SMA that holds unlisted or illiquid securities will have to accept a discount when selling.","because SMA assets are held in investor's name, securities in portfolio can be sold at any time."
r20_ims_los_h_q1,B,"prospectus, private placement memorandum, and/or limited partnership agreement are in essence contract between investor and manager, outlining each party's rights and responsibilities; documents cover numerous topics but liquidity and fees are focus of evaluation; objective of decision maker is to determine whether liquidity and fee structure make manager suitable for investor's needs and 'best' manager for expressing particular portfolio need.","prospectus, private placement memorandum, and/or limited partnership agreement are in essence contract between investor and manager, outlining each party's rights and responsibilities."
r20_ims_los_h_q2,B,"disadvantage of partnership liquidity terms is reduced flexibility to adjust portfolio allocations in light of changing market conditions or investor circumstances and reduced ability to meet unexpected liquidity needs; advantage of such terms is they do lock up capital for longer horizons, allowing funds to take long-term views and hold less liquid securities (start-ups, buyouts, turnarounds, real estate, natural resources) with reduced risk of having to sell portfolio holdings at inopportune times; additional advantage apparent during 2008 financial crisis: limited liquidity imposes long horizon view on investors, reducing or removing their ability to overreact.",disadvantage of partnership liquidity terms is reduced flexibility to adjust portfolio allocations in light of changing market conditions or investor circumstances and reduced ability to meet unexpected liquidity needs.
r20_ims_los_h_q3,B,"also called 'ad valorem fees' (from Latin for 'according to value'); result from applying stated percentage rates to assets under management; reward managers who attract and retain assets, generate added value, and experience benefits from rising markets; managers primarily grow assets through skillful investing, hard work, and effective marketing; also results partly from luck especially in short term; decline in ad valorem percentages as assets grow helps reduce fee impact on investors from rising markets but does not eliminate it.",also called 'ad valorem fees' (from Latin for 'according to value').
r20_ims_los_h_q4,B,"once manager's assets are large, might not want to risk losing them; assets typically 'sticky' — once investors allocate to manager, manager often does not need to generate same level of returns to retain assets as they did to attract them; to motivate managers to work harder or discourage them from closet indexing, incentive fee determined by future performance may be useful.","once manager's assets are large, might not want to risk losing them."
r20_ims_los_h_q5,B,"average asset-weighted expense ratios incurred by mutual fund investors have fallen substantially; in 2000 equity mutual fund investors incurred expense ratios of 0.99% on average or 99 cents for every $100 invested; by 2021 that average had fallen to 0.47%, a decline of 53%; hybrid fell 0.89% (2000) to 0.57% (2021), 36% reduction; bond fell 0.76% to 0.39%, 49% decline; average expense ratio of actively managed equity mutual funds declined from 1.06% to 0.68%; index-based equity and bond funds declined from 27 bps and 21 bps in 2000 respectively to 6 bps each in 2021.",average asset-weighted expense ratios incurred by mutual fund investors have fallen substantially.
r20_ims_los_h_q6,B,"fee structures can influence which managers will be willing to accept particular investment mandate and can strongly affect manager behavior; economic theory suggests principal-agent problem is complicated by fact that agent's skills and actions are not fully visible to principal; although principals control asset availability, agents control both expenditure of effort and portfolio risk; agent and principal may have different preferences (different time horizons, agents might not view losses same way principals do); total performance to some extent beyond control of either party; managers motivated to work hard even without incentive fees to retain current clients and expand client base — incentives useful to help ensure managers routinely act in clients' best interest.",fee structures can influence which managers will be willing to accept particular investment mandate and can strongly affect manager behavior.
r20_ims_los_h_q7,B,mutual fund managers charge fees based on fund's assets under management; institutional managers frequently offer declining percentage fees on increasing account sizes for separate or commingled pool accounts; institutional accounts frequently specify minimum account sizes or minimum dollar fees; fixed-percentage fees facilitate managers' and investors' planning for future cash flows whereas dollar fees are subject to variability of asset values; individual investor does not benefit from investing more money in mutual fund unless extra money qualifies investor for lower-fee fund class.,mutual fund managers charge fees based on fund's assets under management.
r20_ims_los_h_q8,B,"expenses are paid for certain whereas added value of active strategy compared with passive strategy is uncertain; suppose active strategy expected to generate gross return 2% greater than passive but cost of active is 2% greater than passive — risk-averse investor would likely prefer passive strategy (expected net return of strategies is same but uncertainty of outperformance would be unappealing); riskier the active strategy, greater the return volatility and greater volatility of added value relative to passive; added value of active strategy has to be sufficiently large and certain to justify higher cost of the strategy.",expenses are paid for certain whereas added value of active strategy compared with passive strategy is uncertain.
r20_ims_los_i_q1,B,"(1) symmetrical structure — manager is fully exposed to both downside and upside; Computed fee = Base + Sharing of performance; (2) bonus structure — manager is not fully exposed to downside but is fully exposed to upside; Computed fee = Higher of either Base or Base plus sharing of positive performance; (3) bonus structure — manager is not fully exposed to either downside or upside; Computed fee = Higher of Base or Base plus sharing of performance, to a limit.",(1) symmetrical structure — manager is fully exposed to both downside and upside.
r20_ims_los_i_q2,B,"common for hedge funds and less common for long-only strategies; determined by portfolio returns and designed to reward managers with share of return for their skill in creating value; performance can be calculated using either total or relative return, and return shared can be percentage of total performance or performance net of a base or fixed fee; performance fees paid annually or in some cases less frequently.",common for hedge funds and less common for long-only strategies.
r20_ims_los_i_q3,B,"performance fees may include maximum and high-water mark (or clawback) features that protect investors from situations such as paying for current positive performance before negative effects of prior underperformance have been offset; private equity, hedge fund, and real estate partnerships commonly earn performance fees on total returns and typically do not limit amount of performance fee; hedge funds commonly include high-water mark features.",performance fees may include maximum and high-water mark (or clawback) features that protect investors from situations such as paying for current positive performance before negative effects of prior underperformance have been offset.
r20_ims_los_i_q4,B,"for private equity partnerships, base fees are commonly applied to committed (not just invested) capital; performance fees earned as profits are realized and invested capital is returned to investors; common provision that helps protect PE limited partners (investors) is requirement that limited partners receive their principal and share of profits before performance fees are distributed to general partner (manager).","for private equity partnerships, base fees are commonly applied to committed (not just invested) capital."
r20_ims_los_i_q5,B,"bonus-style fees are close equivalent of manager's call option on share of active return, for which base fee is strike price; option payoff modified by maximum fee feature; graph illustrates three fee components: base fee, plus a long call option on active return with strike price equal to minimum (base) fee, minus another (less valuable) call option with strike price equal to maximum fee; based on option pricing theory, higher volatility leads to higher option value, which encourages managers to assume higher portfolio risk — this behavior has been observed in the marketplace.","bonus-style fees are close equivalent of manager's call option on share of active return, for which base fee is strike price."
r20_ims_los_i_q6,B,"investors and managers may have different incentives when performance-based fees are used; according to utility maximization model, fully symmetric fees in which manager is fully exposed to downside tend to yield closer alignment in risk and effort than bonus-style fees; understandably, symmetrical fee structures are unpopular with managers because of their impact on bankruptcy risk.",investors and managers may have different incentives when performance-based fees are used.
r20_ims_los_i_q7,B,"performance-based fee structures may lead to misestimates of portfolio risk; convert symmetrical gross active return distributions into asymmetrical net active return distributions, reducing variability on upside but not the downside; as a result, single standard deviation calculated on return series that incorporates active returns above and below the base fee can lead to underestimation of downside risk; management fee lowers level of realized return without affecting standard deviation, whereas performance fee has added effect of lowering realized standard deviation.",performance-based fee structures may lead to misestimates of portfolio risk.
r20_ims_los_j_q1,B,"standard fee 0.50%; base fee 0.25%; sharing 20% (on active return, beyond base fee); breakeven active return 1.50%; maximum annual fee 0.75%; specifies base fee below which computed fee can never fall (manager protected against sharing for performance below 25 bps); to make result symmetrical around commonplace 50 bps fee, manager does not share in active performance beyond 2.75%.",standard fee 0.50%; base fee 0.25%.
r20_ims_los_j_q2,B,"active return ≤ 0.25%: billed fee 0.25%, net active return ≤ 0.00%; active return 1.00%: billed fee 0.40%, net active return 0.60%; active return 1.50%: billed fee 0.50%, net active return 1.00%; active return 2.00%: billed fee 0.60%, net active return 1.40%; active return ≥ 2.75%: billed fee 0.75%, net active return ≥ 2.00%.","active return ≤ 0.25%: billed fee 0.25%, net active return ≤ 0.00%."
r20_ims_los_j_q3,B,"if investment outcomes result from mix of skill and luck (probability distribution around positive mean alpha), then performance fees constitute risk sharing; fee structures must be designed carefully to avoid favoring one party over other; performance-based fees work to align interests of managers and investors because both parties share in investment results; investors benefit by paying performance-based fees rather than standard fees when active returns are low; managers may work harder to earn performance-based fees inspiring term 'incentive based.'","if investment outcomes result from mix of skill and luck (probability distribution around positive mean alpha), then performance fees constitute risk sharing."
r20_ims_los_j_q4,B,"empirical evidence suggests correlation between performance-based fees and higher alphas (also lower fees) for mutual funds and higher risk-adjusted returns for hedge funds (Elton, Gruber, and Blake 2003; Ackermann, McEnally, and Ravenscraft 1999); asset managers may consider performance-based fees attractive because provide opportunity to enhance profits on upside and ensure guaranteed although perhaps minimal streams of revenue from base fees when performance is poor.","empirical evidence suggests correlation between performance-based fees and higher alphas (also lower fees) for mutual funds and higher risk-adjusted returns for hedge funds (Elton, Gruber, and Blake 2003."
r20_ims_los_j_q5,B,investors must pay base fees even when managers underperform; management firm revenues decline when cash is needed to invest in operations or retain talent; failure rate for poor-performing and even zero-alpha managers may tend to be higher when performance-based rather than standard fees are used.,investors must pay base fees even when managers underperform.
r20_ims_los_j_q6,B,"managers must retain clients year to year, avoid poor performance, and not violate management guidelines; managers also tend to have interest in increasing risk which may conflict with these goals; based on option pricing theory, higher volatility leads to higher option value which encourages managers to assume higher portfolio risk; this behavior has been observed in marketplace; as a result, investors when possible should carefully select benchmarks and monitor risk in portfolios; senior management at investment firms should ensure that compensation systems penalize portfolio managers for assuming excessive risk as well as reward them for earning superior returns.","managers must retain clients year to year, avoid poor performance, and not violate management guidelines."
r20_ims_los_j_q7,B,presence of positive significant average excess return is evidence for manager skill; this excess return however must be net of fees and expenses for benefit of this skill to accrue to investor; the preference is for more linear compensation to the manager to reduce the incentives to change the portfolio's risk profile at inflection points.,presence of positive significant average excess return is evidence for manager skill.
r15_gips_los_a_q2,B,"(1) promote investor interests and instill investor confidence; (2) ensure accurate and consistent data; (3) obtain worldwide acceptance of a single standard for calculating and presenting performance; (4) promote fair, global competition among investment firms; and (5) promote industry self-regulation on a global basis.",(1) promote investor interests and instill investor confidence.
r15_gips_los_a_q3,B,"only investment management firms and asset owners that manage assets on a discretionary basis — and compete for business — may claim compliance with GIPS Standards for Firms; asset owner that manages investments directly and/or through external managers on behalf of participants/beneficiaries/organization itself but does not compete for business would comply with GIPS Standards for Asset Owners; consultants, software houses, or third-party performance measurement providers such as custodians may not claim to be GIPS-compliant; GIPS compliance cannot be claimed for only some of a firm's products, nor for specific composites, pooled funds, or portfolios — compliance can be achieved only on a firm-wide basis.",only investment management firms and asset owners that manage assets on a discretionary basis — and compete for business — may claim compliance with GIPS Standards for Firms.
r15_gips_los_a_q4,B,present returns only for best-performing portfolios; base portfolio values on own unsubstantiated estimates; inflate returns by annualizing partial-period results; select most favorable measurement period (low to high point); present simulated returns as actually earned; choose particular index that selected portfolios have outperformed by greatest margin; portray growth of assets to mask difference between investment returns and client contributions; use marketing department's graphic design expertise to underplay unfavorable performance.,present returns only for best-performing portfolios.
r15_gips_los_a_q5,B,"prospective client is any person or entity that has expressed interest in one of firm's strategies and qualifies to invest in that strategy via a segregated account, irrespective of whether person/entity currently invests with firm through another strategy; prospective investor is any person or entity that has expressed interest in one of firm's pooled funds and qualifies to invest in the pooled fund, again irrespective of any other current investments with firm.","prospective client is any person or entity that has expressed interest in one of firm's strategies and qualifies to invest in that strategy via a segregated account, irrespective of whether person/entity currently invests with firm through another strategy."
r15_gips_los_a_q6,B,"GIPS standards well accepted by plan sponsors so non-compliance is serious competitive impediment; RFPs routinely ask if firm is GIPS-compliant and independently verified; global recognition helps compete in international markets — compliance characterized as investment management firm's 'passport to the international marketplace'; firms may realize internal benefits — implementing GIPS standards may identify opportunities to strengthen managerial controls, improve oversight of investment operations, provide management additional comfort in accuracy of performance reporting, and improve quality of information available to firm through technological enhancements.",GIPS standards well accepted by plan sponsors so non-compliance is serious competitive impediment.
r15_gips_los_a_q7,B,"reading is based on 2020 edition of GIPS standards, which are effective as of 1 January 2020; GIPS Reports that include performance for periods ending on or after 31 December 2020 must be prepared in accordance with the 2020 edition; 2020 edition contains three chapters: GIPS Standards for Firms, GIPS Standards for Asset Owners, and GIPS Standards for Verifiers, each with its own glossary.","reading is based on 2020 edition of GIPS standards, which are effective as of 1 January 2020."
r15_gips_los_b_q1,B,"contains 39 requirements and seven recommendations; several core principles create the foundation for GIPS standards including properly defining the firm, providing GIPS Reports to all prospective clients and prospective pooled fund investors, adhering to applicable laws and regulations, and ensuring that information presented is not false or misleading.",contains 39 requirements and seven recommendations.
r15_gips_los_b_q2,B,"firm must be defined as investment firm, subsidiary, or division held out to public as distinct business entity; distinct business entity is 'unit, division, department, or office that is organizationally and functionally segregated from other units, divisions, departments, or offices and that retains discretion over the assets it manages and that should have autonomy over the investment decision-making process'; possible criteria for identifying distinct business entity: organization being a legal entity, having distinct market or client type, or using separate and distinct investment process.","firm must be defined as investment firm, subsidiary, or division held out to public as distinct business entity."
r15_gips_los_b_q3,B,"super-regional bank whose wealth management department has two separate divisions: private client division (Eastern National Bank Wealth Management Services, offers investment management to private individuals/families) and institutional client division (Eastern Institutional Asset Advisors, serves tax-exempt non-profits including pension funds/charitable foundations, does not solicit non-institutional business); each division has own investment team, traders, marketing, admin, accounting; institutional division decides to achieve GIPS compliance, private client division decides not to; institutional division may become GIPS-compliant because it holds itself out as distinct business unit with own autonomous investment management, research, trading, and administrative team.","super-regional bank whose wealth management department has two separate divisions: private client division (Eastern National Bank Wealth Management Services, offers investment management to private individuals/families) and institutional client division (Eastern Institutional Asset Advisors, serves tax-exempt non-profits including pension funds/charitable foundations, does not solicit non-institutional business)."
r15_gips_los_b_q4,B,phrase refers to aggregate fair value of all assets (whether or not discretionary or fee-paying) for which firm has investment management responsibility; total firm assets include assets managed by sub-advisors that firm has authority to select but do NOT include advisory-only assets or uncalled committed capital.,phrase refers to aggregate fair value of all assets (whether or not discretionary or fee-paying) for which firm has investment management responsibility.
r15_gips_los_b_q5,B,"firm that has been defined for purposes of GIPS standards may undergo subsequent changes in corporate structure or organizational design; changes in firm's organization are NOT permitted to lead to alteration of historical performance; general rule: apart from correcting errors, historical performance is not to be altered.",firm that has been defined for purposes of GIPS standards may undergo subsequent changes in corporate structure or organizational design.
r15_gips_los_b_q6,B,"GIPS Standards for Firms require that all discretionary, fee-paying segregated accounts must be included in at least one composite; discretionary, fee-paying pooled funds must also be included in at least one composite if they meet a composite definition; key term is 'discretionary' although GIPS standards do not define term itself; generally, portfolio is discretionary if manager is able to implement the intended investment strategy; although both discretionary and non-discretionary portfolios are included in total firm assets, only discretionary portfolios are included in composites; if client restrictions impede investment process to such extent that strategy cannot be implemented as intended, may be presumed to render portfolio non-discretionary.","GIPS Standards for Firms require that all discretionary, fee-paying segregated accounts must be included in at least one composite."
r15_gips_los_b_q7,B,minimum number of years required to initially claim compliance; documenting policies and procedures related to compliance; complying with laws and regulations; avoiding false or misleading performance information; requirements concerning distribution of GIPS Reports and lists of firm composites and pooled funds; use of total return benchmarks reflective of investment strategy; requirement to correct material errors in GIPS Report and redistribution to appropriate parties; maintenance of data and information necessary to support elements of GIPS Reports; conditions under which performance may be used or linked to that of another firm.,minimum number of years required to initially claim compliance.
r15_gips_los_b_q8,B,"when GIPS standards conflict with laws and/or regulations regarding calculation and presentation of performance, GIPS standards obligate firms to comply with laws and regulations AND to disclose the conflict in the GIPS Report; firms are strongly encouraged to comply with GIPS standards in addition to applicable regulatory requirements.","when GIPS standards conflict with laws and/or regulations regarding calculation and presentation of performance, GIPS standards obligate firms to comply with laws and regulations AND to disclose the conflict in the GIPS Report."
r15_gips_los_c_q1,B,"GIPS standards mandate use of time-weighted return (TWR); money-weighted returns (MWRs) may be used for portfolios meeting certain conditions; TWR is method of calculating period-by-period returns that reflects change in value and negates effects of external cash flows; except for private market investment portfolios, portfolios using TWR must be valued monthly and TWR must be calculated at least monthly as of calendar month end or last business day of month; if returns are not calculated daily and portfolio receives intra-month large cash flow, portfolio must be valued and sub-period return calculated at time of large cash flow; private market investment portfolios must be valued quarterly.",GIPS standards mandate use of time-weighted return (TWR).
r15_gips_los_c_q2,B,what constitutes a large cash flow is defined by the firm; usually an external cash flow of such size that it may distort return if portfolio is not valued and sub-period return is not calculated at time of cash flow; large cash flow may be defined either relative to an absolute monetary threshold or as a percentage of the portfolio or composite assets; GIPS standards do not specify quantitative definition of large external cash flows — firms must make own determinations for each composite taking into account liquidity of market segments/asset classes and nature of investment strategy.,what constitutes a large cash flow is defined by the firm.
r15_gips_los_c_q3,B,"firm may choose to present MWRs instead of TWRs if firm has control over external cash flows AND: (1) portfolios are closed-end, fixed life, or fixed commitment OR (2) illiquid investments are significant part of investment strategy; annualized, since-inception MWRs must be calculated at least annually; for periods beginning with effective date of 2020 GIPS Standards, daily external cash flows must be used (external cash flows for periods prior to this date must be reflected on at least a quarterly basis); portfolios for which MWR is calculated must be valued at least annually and as of period end for which performance is calculated.","firm may choose to present MWRs instead of TWRs if firm has control over external cash flows AND: (1) portfolios are closed-end, fixed life, or fixed commitment OR (2) illiquid investments are significant part of investment strategy."
r15_gips_los_c_q4,B,"true TWR (intra-period valuation) = 0.41%: sub-period 1 return = (109,000 - 10,000 - 100,000)/100,000 = -0.01; sub-period 2 return = (110,550 - 109,000)/109,000 = 0.0142; TWR = (1 + -0.01)(1 + 0.0142) - 1 = 0.0041 = 0.41%; Modified Dietz weight = (30-5)/30 = 0.83; Modified Dietz = (110,550 - 100,000 - 10,000)/(100,000 + 10,000 × 25/30) = 550/108,333.33 = 0.51%; Modified IRR also gives 0.51%.","true TWR (intra-period valuation) = 0.41%: sub-period 1 return = (109,000 - 10,000 - 100,000)/100,000 = -0.01."
r15_gips_los_c_q5,B,"returns from cash and cash equivalents held in portfolios must be included in all total return calculations; portfolio return will be affected by how much cash manager elects to hold, and thus return calculations must reflect contribution of cash and cash equivalents to investment results; even if management of cash balances is handled by another firm (as often in manager-of-manager arrangements), cash and cash equivalents must be included in total return calculation.",returns from cash and cash equivalents held in portfolios must be included in all total return calculations.
r15_gips_los_c_q6,B,returns for periods of less than one year must NOT be annualized; extrapolating partial-year returns by annualizing them would amount to a prediction about investment results for the rest of the year.,returns for periods of less than one year must NOT be annualized.
r15_gips_los_c_q7,B,"returns must be calculated after deduction of transaction costs incurred during period; transaction costs are costs of buying or selling investments (brokerage commissions, exchange fees/taxes, or spreads from internal or external brokers); custody fees should NOT be considered transaction costs even when charged per-transaction; some portfolios may pay bundled fees (any combination of investment management fees, transaction costs, custody fees, and/or administrative fees); if transaction costs cannot be identified and segregated from bundle fee, composites for institutional investors must reduce gross-of-fees return by entire amount of bundled fee or by that portion of bundled fee that includes transaction costs.",returns must be calculated after deduction of transaction costs incurred during period.
r15_gips_los_d_q1,B,"amount at which an investment could be sold in an orderly, arm's-length transaction between willing parties; valuation must be determined using objective, observable, unadjusted quoted market price for identical investment in active market on measurement date if available; fair value must include any accrued income on fixed-income securities and all other investments that earn interest income (firm may choose to recognize income on cash and cash equivalents on cash basis rather than accrual basis).","amount at which an investment could be sold in an orderly, arm's-length transaction between willing parties."
r15_gips_los_d_q2,B,"objective, observable, unadjusted quoted market price for identical investment in active market on measurement date (must be used if available); this is the top of the hierarchy and takes precedence over all other valuation approaches.","objective, observable, unadjusted quoted market price for identical investment in active market on measurement date (must be used if available)."
r15_gips_los_d_q3,B,"in declining order of preference: (1) quoted prices for similar investments in active markets; (2) quoted prices for identical or similar investments in markets that are not active (markets in which there are few transactions for the investment, prices are not current, or price quotations vary substantially over time and/or between market makers); (3) market-based inputs, other than quoted prices, that are observable for the investment; (4) subjective, unobservable inputs.",in declining order of preference: (1) quoted prices for similar investments in active markets.
r15_gips_los_d_q4,B,lowest in valuation hierarchy — used only when no observable inputs are available; below (in declining order): (1) objective observable unadjusted quoted market price for identical investment in active market; (2) quoted prices for similar investments in active markets; (3) quoted prices for identical/similar investments in markets that are not active; (4) market-based inputs other than quoted prices that are observable.,lowest in valuation hierarchy — used only when no observable inputs are available.
r15_gips_los_d_q5,B,"GIPS standards not only require firms to document their valuation policies, procedures, methodologies, and hierarchies but also recommend that valuation hierarchies be composite- or pooled fund-specific; for investment strategies employing plain-vanilla securities trading in robust markets, quoted prices are readily available; other composites may represent strategies that materially make use of securities that trade infrequently in relatively illiquid markets where values must be imputed or estimated (real estate and private equity obvious examples).","GIPS standards not only require firms to document their valuation policies, procedures, methodologies, and hierarchies but also recommend that valuation hierarchies be composite- or pooled fund-specific."
r15_gips_los_d_q6,B,"once established, valuation policies must be documented, followed consistently, and made available to prospective clients upon request; for assets valued using quantitative models, useful to list input factors such as discount rates and risk-adjusted cash flow projections and to review basis for estimating them; portfolio managers, security analysts, quantitative analysts, and traders should participate in these discussions.","once established, valuation policies must be documented, followed consistently, and made available to prospective clients upon request."
r15_gips_los_e_q1,B,(1) asset-weighting individual portfolio returns using beginning-of-period values; (2) using a method that reflects both beginning-of-period values and external cash flows; (3) using the Aggregate Return method.,(1) asset-weighting individual portfolio returns using beginning-of-period values.
r15_gips_los_e_q2,B,"r_C = Σ [r_pi × (V_0,pi / Σ V_0,pi)] where r_C is composite return, r_pi is return of individual portfolio i, V_0,pi is beginning value of portfolio i, and Σ V_0,pi is total beginning fair value of all individual portfolios in composite; composite return is sum of individual portfolio returns weighted in proportion to their respective percentages of aggregate beginning assets.","r_C = Σ [r_pi × (V_0,pi / Σ V_0,pi)] where r_C is composite return, r_pi is return of individual portfolio i, V_0,pi is beginning value of portfolio i, and Σ V_0,pi is total beginning fair value of all individual portfolios in composite."
